Local time in Surabaya,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
29.01.2023 22:00,25.2,756.4,756.7,0.2,92,"Calm, no wind",0,,,"10%  or less, but not 0",Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,23.8,Trace of precipitation,3,,,,
29.01.2023 19:00,25.2,756.2,756.6,2.1,92,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,32.4,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,Altostratus opacus or Nimbostratus.,,7.0,23.8,6,6,,,,
29.01.2023 16:00,26.0,754.1,754.4,0.0,94,Wind blowing from the west,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,Altostratus opacus or Nimbostratus.,,7.0,24.9,5,3,,,,
29.01.2023 13:00,32.2,754.1,754.5,-1.7,62,Wind blowing from the west-northwest,3,,,100%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altostratus opacus or Nimbostratus.,,11.0,24.1,,,,,,
29.01.2023 10:00,29.8,755.8,756.1,0.3,74,Wind blowing from the west-northwest,3,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,24.7,,,,,,
29.01.2023 07:00,25.2,755.5,755.8,1.8,95,"Calm, no wind",0,,,100%., ,,,24.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altostratus opacus or Nimbostratus.,,9.0,24.4,11,24,,,,
29.01.2023 04:00,24.5,753.7,754.0,-0.2,93,"Calm, no wind",0,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altostratus opacus or Nimbostratus.,,8.0,23.3,,,,,,
29.01.2023 01:00,24.6,753.9,754.3,-1.8,94,"Calm, no wind",0,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altostratus opacus or Nimbostratus.,,8.0,23.5,,,,,,
28.01.2023 22:00,24.8,755.7,756.1,0.2,95,"Calm, no wind",0,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altostratus opacus or Nimbostratus.,,8.0,24.0,0.1,3,,,,
28.01.2023 19:00,25.0,755.5,755.8,1.7,95,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,29.6,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altostratus opacus or Nimbostratus.,,8.0,24.2,11,6,,,,
28.01.2023 16:00,25.8,753.8,754.1,-0.2,95,Wind blowing from the west-northwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,300-600,Altostratus opacus or Nimbostratus.,,8.0,25.0,9,3,,,,
28.01.2023 13:00,27.2,754.0,754.3,-1.4,85,Wind blowing from the north-northwest,5,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,300-600,Altostratus opacus or Nimbostratus.,,9.0,24.5,0.2,6,,,,
28.01.2023 10:00,29.4,755.4,755.7,0.2,74,Wind blowing from the north-northwest,3,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,24.2,,,,,,
28.01.2023 07:00,25.0,755.2,755.5,1.5,94,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,23.9,11,24,,,,
28.01.2023 04:00,24.4,753.7,754.0,-0.3,95,"Calm, no wind",0,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,23.6,,,,,,
28.01.2023 01:00,24.7,754.0,754.3,-1.4,93,"Calm, no wind",0,,,70 – 80%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7.0,23.5,5,6,,,,
27.01.2023 22:00,24.5,755.4,755.7,0.2,94,Wind blowing from the west-northwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,,,Stratocumulus cumulogenitus.,50%.,600-1000,Altostratus opacus or Nimbostratus.,,6.0,23.5,5,3,,,,
27.01.2023 19:00,25.2,755.2,755.5,2.1,94,Wind blowing from the south-southwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,,32.0,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,Altostratus opacus or Nimbostratus.,,6.0,24.2,7,6,,,,
27.01.2023 16:00,28.7,753.1,753.4,-0.7,79,Wind blowing from the west-northwest,3,,,"90  or more, but not 100%", ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.8,,,,,,
27.01.2023 13:00,31.8,753.8,754.2,-1.9,66,Wind blowing from the west-northwest,2,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.8,,,,,,
27.01.2023 10:00,29.8,755.7,756.0,0.1,72,Wind blowing from the west-northwest,3,,,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,24.1,,,,,,
27.01.2023 07:00,26.4,755.6,755.9,1.4,86,Wind blowing from the west-northwest,1,,,100%., ,,,25.0,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,23.9,2,24,,,,
27.01.2023 04:00,25.2,754.2,754.5,-0.2,92,"Calm, no wind",0,,,100%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%.,"2500 or more, or no clouds.",Altostratus opacus or Nimbostratus.,,7.0,23.8,,,,,,
27.01.2023 01:00,25.2,754.4,754.8,-1.4,92,Wind blowing from the west-northwest,4,,,100%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,7.0,23.8,Trace of precipitation,6,,,,
26.01.2023 22:00,25.3,755.8,756.2,0.0,92,Wind blowing from the west-northwest,3,,,100%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,7.0,23.9,Trace of precipitation,3,,,,
26.01.2023 19:00,26.0,755.8,756.1,1.7,92,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,,32.1,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altostratus opacus or Nimbostratus.,,6.0,24.6,1,6,,,,
26.01.2023 16:00,25.9,754.1,754.5,-0.1,90,Wind blowing from the west-northwest,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,Altostratus opacus or Nimbostratus.,,6.0,24.1,0.5,3,,,,
26.01.2023 13:00,28.0,754.2,754.5,-1.2,84,Wind blowing from the south-east,3,,,"90  or more, but not 100%","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,25.0,1,6,,,,
26.01.2023 10:00,30.0,755.4,755.8,-0.1,73,Wind blowing from the north-west,3,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,24.6,,,,,,
26.01.2023 07:00,26.2,755.5,755.9,1.2,90,"Calm, no wind",0,,,"90  or more, but not 100%",Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,23.8,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",9.0,24.4,63,24,,,,
26.01.2023 04:00,25.2,754.3,754.6,-0.3,95,"Calm, no wind",0,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.4,,,,,,
26.01.2023 01:00,25.4,754.6,754.9,-1.1,92,"Calm, no wind",0,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.0,,,,,,
25.01.2023 22:00,25.5,755.7,756.1,0.4,93,"Calm, no wind",0,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.3,,,,,,
25.01.2023 19:00,26.2,755.3,755.6,1.5,91,"Calm, no wind",0,,,"90  or more, but not 100%",Clouds generally dissolving or becoming less developed. ,Thunderstorm(s) with or without precipitation.,Rain.,,32.2,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,24.7,63,6,,,,
25.01.2023 16:00,24.8,753.8,754.1,0.3,94,"Calm, no wind",0,,,"90  or more, but not 100%",Thunderstorm (with or without precipitation). ,Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,23.7,63,3,,,,
25.01.2023 13:00,32.0,753.5,753.9,-1.6,63,Wind blowing from the north-west,6,,,100%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus opacus or Nimbostratus.,,10.0,24.2,,,,,,
25.01.2023 10:00,30.5,755.1,755.5,0.3,71,Wind blowing from the north-west,3,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,24.6,,,,,,
25.01.2023 07:00,26.6,754.8,755.1,0.8,90,"Calm, no wind",0,,,70 – 80%.,Clouds generally dissolving or becoming less developed. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,26.4,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 – 80%.,"2500 or more, or no clouds.",Altostratus opacus or Nimbostratus.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,24.8,Trace of precipitation,24,,,,
25.01.2023 04:00,26.8,754.0,754.4,0.0,88,"Calm, no wind",0,,,70 – 80%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.6,Trace of precipitation,3,,,,
25.01.2023 01:00,27.0,754.0,754.3,-0.9,93,"Calm, no wind",0,,,"90  or more, but not 100%","Rain, not freezing, intermittent, slight at time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.7,Trace of precipitation,6,,,,
24.01.2023 22:00,28.0,754.9,755.2,0.7,85,Wind blowing from the north-west,2,,,"90  or more, but not 100%", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.2,,,,,,
24.01.2023 19:00,29.5,754.2,754.5,1.7,79,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,,31.9,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.4,,,,,,
24.01.2023 16:00,30.7,752.5,752.8,-1.0,70,Wind blowing from the south-east,2,,,100%.,Clouds generally forming or developing. ,Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,Altostratus opacus or Nimbostratus.,,10.0,24.5,Trace of precipitation,3,,,,
24.01.2023 13:00,28.0,753.5,753.8,-1.7,85,Wind blowing from the west,3,,,"90  or more, but not 100%","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,25.3,2,6,,,,
24.01.2023 10:00,30.7,755.2,755.5,0.0,71,Wind blowing from the west-northwest,2,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.9,,,,,,
24.01.2023 07:00,27.0,755.2,755.5,1.1,88,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,26.4,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.8,,,,,,
24.01.2023 04:00,26.6,754.1,754.4,0.1,89,"Calm, no wind",0,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.7,,,,,,
24.01.2023 01:00,27.2,754.0,754.3,-1.3,88,"Calm, no wind",0,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.0,,,,,,
23.01.2023 22:00,28.2,755.3,755.6,1.3,83,Wind blowing from the west-northwest,2,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.0,,,,,,
23.01.2023 19:00,28.8,754.0,754.3,1.5,81,Wind blowing from the north-west,1,,,40%., ,,,,32.4,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.3,,,,,,
23.01.2023 16:00,30.4,752.5,752.9,-0.9,69,Wind blowing from the north-west,6,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.2,,,,,,
23.01.2023 13:00,32.4,753.4,753.7,-2.2,58,Wind blowing from the west-northwest,5,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,23.1,,,,,,
23.01.2023 10:00,30.0,755.6,755.9,0.6,68,Wind blowing from the north-west,2,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,23.4,,,,,,
23.01.2023 07:00,26.8,755.0,755.3,1.3,90,"Calm, no wind",0,,,70 – 80%., ,,,25.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,25.0,34,24,,,,
23.01.2023 04:00,26.0,753.7,754.0,-0.6,95,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.2,,,,,,
23.01.2023 01:00,26.2,754.3,754.7,-1.0,92,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.8,2,6,,,,
22.01.2023 22:00,26.4,755.3,755.7,1.3,91,"Calm, no wind",0,,,100%.,"Lightning visible, no thunder heard. ",Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altostratus opacus or Nimbostratus.,,8.0,24.8,2,3,,,,
22.01.2023 19:00,27.8,754.0,754.3,1.3,87,Wind blowing from the west-northwest,3,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,32.4,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altostratus translucidus.,,8.0,25.4,33,6,,,,
22.01.2023 16:00,31.0,752.7,753.1,-1.3,70,Wind blowing from the north-west,4,,,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.8,,,,,,
22.01.2023 13:00,32.0,754.0,754.3,-1.8,65,Wind blowing from the north-west,6,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.5,,,,,,
22.01.2023 10:00,30.4,755.8,756.1,-0.2,68,Wind blowing from the west-northwest,3,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,23.9,,,,,,
22.01.2023 07:00,26.3,756.0,756.3,1.3,91,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,24.2,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.7,41,24,,,,
22.01.2023 04:00,25.0,754.7,754.9,-0.8,96,"Calm, no wind",0,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,Altostratus opacus or Nimbostratus.,,8.0,24.4,,,,,,
22.01.2023 01:00,25.2,755.5,755.8,-1.4,94,"Calm, no wind",0,,,100%.,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,300-600,Altostratus opacus or Nimbostratus.,,8.0,24.1,4,6,,,,
21.01.2023 22:00,25.2,756.9,757.2,1.1,94,"Calm, no wind",0,,,70 – 80%.,Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ,Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,24.1,4,3,,,,
21.01.2023 19:00,24.2,755.8,756.1,2.4,94,Wind blowing from the west,1,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,32.4,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",70 – 80%.,600-1000,Altostratus opacus or Nimbostratus.,,7.0,23.1,37,6,,,,
21.01.2023 16:00,31.3,753.4,753.7,-1.7,70,Wind blowing from the west-northwest,3,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,25.1,,,,,,
21.01.2023 13:00,32.2,755.1,755.5,-1.1,62,Wind blowing from the west-northwest,6,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.1,,,,,,
21.01.2023 10:00,30.8,756.2,756.6,0.0,67,Wind blowing from the north-west,4,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.0,,,,,,
21.01.2023 07:00,26.2,756.2,756.5,0.6,89,"Calm, no wind",0,,,20–30%., ,,,25.4,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.3,,,,,,
21.01.2023 04:00,26.4,755.6,755.9,-1.1,85,"Calm, no wind",0,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,23.7,,,,,,
